,0
0,120
1,19
2,144
3,23
4,140
5,99
6,109
7,184
8,194
9,20
10,131
11,81
12,172
13,38
14,42
15,37
16,106
17,40
18,111
19,27
20,132
21,179
22,150
23,165
24,35
25,30
26,7
27,88
28,143
29,138
30,147
31,77
32,56
33,146
34,199
35,60
36,24
37,160
38,108
39,39
40,116
41,104
42,126
43,111
44,116
45,16
46,180
47,46
48,94
49,84
50,23
51,143
52,172
53,83
54,119
55,55
56,98
57,155
58,45
59,81
60,155
61,77
62,176
63,94
64,133
65,121
66,113
67,28
68,65
69,68
70,114
71,161
72,118
73,48
74,99
75,69
76,193
77,99
78,71
79,1
80,129
81,199
82,153
83,100
84,77
85,108
86,178
87,155
88,96
89,43
90,19
91,98
92,45
93,100
94,80
95,112
96,121
97,171
98,195
99,8
