,0
0,140
1,59
2,15
3,4
4,150
5,180
6,66
7,71
8,109
9,72
10,5
11,39
12,79
13,79
14,41
15,150
16,147
17,62
18,29
19,9
20,139
21,125
22,99
23,26
24,103
25,72
26,129
27,99
28,114
29,174
30,55
31,10
32,24
33,95
34,43
35,141
36,55
37,5
38,151
39,42
40,103
41,49
42,101
43,102
44,75
45,117
46,184
47,171
48,152
49,81
50,21
51,146
52,63
53,89
54,29
55,37
56,177
57,168
58,106
59,103
60,11
61,56
62,191
63,142
64,32
65,193
66,121
67,117
68,65
69,36
70,25
71,72
72,50
73,12
74,152
75,147
76,195
77,138
78,7
79,180
80,92
81,14
82,46
83,35
84,151
85,61
86,117
87,181
88,12
89,173
90,7
91,175
92,110
93,167
94,94
95,147
96,109
97,178
98,65
99,171
