,0
0,8
1,10
2,5
3,38
4,166
5,100
6,193
7,117
8,59
9,164
10,133
11,5
12,38
13,163
14,88
15,177
16,84
17,114
18,9
19,132
20,177
21,24
22,94
23,130
24,83
25,131
26,77
27,11
28,141
29,81
30,154
31,198
32,175
33,98
34,21
35,148
36,170
37,122
38,185
39,145
40,101
41,183
42,100
43,196
44,111
45,11
46,97
47,147
48,112
49,11
50,25
51,97
52,95
53,45
54,6
55,89
56,88
57,38
58,51
59,16
60,151
61,3
62,90
63,174
64,122
65,157
66,2
67,133
68,121
69,199
70,15
71,78
72,163
73,180
74,103
75,118
76,7
77,179
78,102
79,179
80,157
81,183
82,113
83,139
84,195
85,122
86,55
87,88
88,68
89,117
90,115
91,185
92,93
93,102
94,139
95,82
96,3
97,165
98,135
99,29
