,0
0,140
1,59
2,15
3,4
4,150
5,180
6,66
7,71
8,109
9,72
10,5
11,39
12,79
13,79
14,41
15,150
16,147
17,62
18,29
19,9
20,139
21,125
22,99
23,26
24,103
25,72
26,129
27,99
28,114
29,174
30,55
31,10
32,24
33,95
34,43
35,141
36,55
37,5
38,151
39,42
40,103
41,49
42,101
43,102
44,75
45,117
46,184
47,171
48,152
49,81
50,21
51,146
52,63
53,89
54,29
55,37
56,177
57,168
58,106
59,103
60,11
61,56
62,191
63,142
64,32
65,193
66,121
67,117
68,65
69,36
70,25
71,72
72,50
73,12
74,152
75,147
76,195
77,138
78,7
79,180
80,92
81,14
82,46
83,35
84,151
85,61
86,117
87,181
88,12
89,173
90,7
91,175
92,110
93,167
94,94
95,147
96,109
97,178
98,65
99,171
100,82
101,89
102,101
103,120
104,184
105,72
106,178
107,34
108,11
109,108
110,139
111,104
112,164
113,126
114,177
115,48
116,74
117,139
118,93
119,34
120,39
121,112
122,10
123,2
124,121
125,75
126,174
127,51
128,169
129,91
130,131
131,16
132,63
133,64
134,13
135,38
136,4
137,3
138,147
139,81
140,144
141,126
142,71
143,152
144,11
145,150
146,60
147,130
148,136
149,72
150,38
151,52
152,88
153,63
154,149
155,4
156,159
157,165
158,7
159,150
160,124
161,42
162,187
163,54
164,115
165,179
166,82
167,23
168,83
169,25
170,57
171,197
172,89
173,45
174,111
175,88
176,179
177,59
178,172
179,154
180,120
181,117
182,171
183,121
184,160
185,30
186,142
187,71
188,96
189,189
190,1
191,175
192,124
193,109
194,118
195,171
196,15
197,68
198,85
199,167
