,0
0,130
1,54
2,5
3,17
4,125
5,78
6,133
7,78
8,81
9,110
10,108
11,30
12,98
13,3
14,128
15,93
16,44
17,172
18,127
19,115
20,189
21,0
22,17
23,157
24,91
25,162
26,187
27,21
28,63
29,101
30,145
31,38
32,129
33,143
34,17
35,181
36,150
37,114
38,175
39,194
40,11
41,137
42,40
43,182
44,179
45,47
46,4
47,138
48,134
49,118
50,172
51,72
52,136
53,18
54,2
55,197
56,100
57,106
58,157
59,155
60,145
61,186
62,139
63,49
64,72
65,88
66,3
67,112
68,11
69,57
70,178
71,143
72,185
73,131
74,118
75,188
76,167
77,157
78,181
79,67
80,56
81,119
82,79
83,45
84,90
85,79
86,11
87,133
88,158
89,186
90,68
91,59
92,32
93,37
94,171
95,125
96,60
97,45
98,29
99,155
100,27
101,29
102,126
103,72
104,75
105,97
106,38
107,11
108,89
109,32
110,178
111,40
112,198
113,30
114,150
115,123
116,75
117,35
118,196
119,63
120,4
121,177
122,116
123,157
124,191
125,61
126,91
127,111
128,104
129,90
130,26
131,73
132,178
133,94
134,17
135,199
136,56
137,35
138,47
139,48
140,119
141,199
142,117
143,67
144,123
145,199
146,62
147,37
148,5
149,97
150,55
151,174
152,38
153,49
154,8
155,122
156,193
157,66
158,62
159,16
160,189
161,194
162,11
163,159
164,138
165,20
166,100
167,14
168,120
169,52
170,199
171,157
172,133
173,14
174,114
175,51
176,32
177,151
178,91
179,6
180,120
181,65
182,75
183,87
184,198
185,40
186,188
187,36
188,140
189,163
190,62
191,197
192,62
193,186
194,76
195,18
196,128
197,1
198,90
199,112
