,0
0,456
1,472
2,846
3,1151
4,1411
5,465
6,575
7,591
8,31
9,1768
10,430
11,172
12,1289
13,217
14,1353
15,143
16,1709
17,2149
18,752
19,17
20,1162
21,504
22,1450
23,1169
24,250
25,546
26,1662
27,2122
28,1630
29,120
30,1637
31,54
32,2136
33,816
34,593
35,2136
36,1961
37,83
38,17
39,1071
40,438
41,1446
42,1634
43,1032
44,1020
45,881
46,1311
47,1311
48,843
49,16
50,260
51,1988
52,1275
53,792
54,1516
55,1467
56,1313
57,251
58,1627
59,1342
60,1809
61,212
62,1660
63,1781
64,1333
65,1270
66,1291
67,1763
68,1127
69,161
70,231
71,520
72,457
73,887
74,1962
75,552
76,947
77,1103
78,1041
79,902
