,0
0,8
1,10
2,5
3,38
4,166
5,100
6,193
7,117
8,59
9,164
10,133
11,5
12,38
13,163
14,88
15,177
16,84
17,114
18,9
19,132
20,177
21,24
22,94
23,130
24,83
25,131
26,77
27,11
28,141
29,81
30,154
31,198
32,175
33,98
34,21
35,148
36,170
37,122
38,185
39,145
40,101
41,183
42,100
43,196
44,111
45,11
46,97
47,147
48,112
49,11
50,25
51,97
52,95
53,45
54,6
55,89
56,88
57,38
58,51
59,16
60,151
61,3
62,90
63,174
64,122
65,157
66,2
67,133
68,121
69,199
70,15
71,78
72,163
73,180
74,103
75,118
76,7
77,179
78,102
79,179
80,157
81,183
82,113
83,139
84,195
85,122
86,55
87,88
88,68
89,117
90,115
91,185
92,93
93,102
94,139
95,82
96,3
97,165
98,135
99,29
100,78
101,11
102,11
103,16
104,60
105,123
106,103
107,191
108,187
109,129
110,146
111,181
112,28
113,192
114,85
115,73
116,136
117,139
118,117
119,179
120,81
121,183
122,15
123,131
124,106
125,28
126,58
127,78
128,111
129,65
130,76
131,11
132,25
133,103
134,11
135,90
136,162
137,129
138,144
139,1
140,16
141,33
142,33
143,172
144,40
145,72
146,106
147,83
148,160
149,151
150,68
151,159
152,150
153,64
154,31
155,79
156,83
157,15
158,51
159,140
160,173
161,10
162,105
163,80
164,70
165,21
166,195
167,80
168,64
169,129
170,50
171,96
172,107
173,82
174,185
175,150
176,15
177,143
178,28
179,71
180,27
181,57
182,58
183,13
184,146
185,78
186,20
187,71
188,183
189,44
190,91
191,44
192,15
193,87
194,77
195,157
196,95
197,110
198,132
199,28
