,0
0,120
1,19
2,144
3,23
4,140
5,99
6,109
7,184
8,194
9,20
10,131
11,81
12,172
13,38
14,42
15,37
16,106
17,40
18,111
19,27
20,132
21,179
22,150
23,165
24,35
25,30
26,7
27,88
28,143
29,138
30,147
31,77
32,56
33,146
34,199
35,60
36,24
37,160
38,108
39,39
40,116
41,104
42,126
43,111
44,116
45,16
46,180
47,46
48,94
49,84
50,23
51,143
52,172
53,83
54,119
55,55
56,98
57,155
58,45
59,81
60,155
61,77
62,176
63,94
64,133
65,121
66,113
67,28
68,65
69,68
70,114
71,161
72,118
73,48
74,99
75,69
76,193
77,99
78,71
79,1
80,129
81,199
82,153
83,100
84,77
85,108
86,178
87,155
88,96
89,43
90,19
91,98
92,45
93,100
94,80
95,112
96,121
97,171
98,195
99,8
100,174
101,64
102,116
103,148
104,96
105,107
106,133
107,85
108,24
109,2
110,199
111,108
112,28
113,118
114,95
115,65
116,114
117,142
118,21
119,111
120,111
121,197
122,33
123,106
124,130
125,27
126,119
127,147
128,143
129,71
130,29
131,163
132,48
133,177
134,80
135,184
136,63
137,186
138,133
139,51
140,61
141,106
142,17
143,45
144,62
145,22
146,102
147,137
148,5
149,76
150,61
151,170
152,144
153,59
154,17
155,196
156,60
157,153
158,142
159,109
160,61
161,181
162,81
163,29
164,198
165,28
166,133
167,84
168,183
169,178
170,86
171,181
172,10
173,43
174,187
175,158
176,59
177,142
178,176
179,120
180,125
181,56
182,193
183,104
184,135
185,197
186,143
187,119
188,52
189,32
190,87
191,162
192,29
193,51
194,181
195,4
196,192
197,123
198,154
199,133
