,0
0,130
1,54
2,5
3,17
4,125
5,78
6,133
7,78
8,81
9,110
10,108
11,30
12,98
13,3
14,128
15,93
16,44
17,172
18,127
19,115
20,189
21,0
22,17
23,157
24,91
25,162
26,187
27,21
28,63
29,101
30,145
31,38
32,129
33,143
34,17
35,181
36,150
37,114
38,175
39,194
40,11
41,137
42,40
43,182
44,179
45,47
46,4
47,138
48,134
49,118
50,172
51,72
52,136
53,18
54,2
55,197
56,100
57,106
58,157
59,155
60,145
61,186
62,139
63,49
64,72
65,88
66,3
67,112
68,11
69,57
70,178
71,143
72,185
73,131
74,118
75,188
76,167
77,157
78,181
79,67
80,56
81,119
82,79
83,45
84,90
85,79
86,11
87,133
88,158
89,186
90,68
91,59
92,32
93,37
94,171
95,125
96,60
97,45
98,29
99,155
