,0
0,193
1,49
2,177
3,87
4,57
5,41
6,194
7,175
8,17
9,20
10,166
11,64
12,134
13,150
14,79
15,74
16,162
17,168
18,166
19,149
20,34
21,117
22,160
23,170
24,127
25,44
26,99
27,41
28,103
29,155
30,48
31,127
32,138
33,68
34,17
35,3
36,101
37,94
38,29
39,102
40,123
41,158
42,194
43,60
44,135
45,179
46,73
47,192
48,145
49,168
50,21
51,94
52,154
53,143
54,17
55,10
56,145
57,131
58,73
59,29
60,195
61,199
62,132
63,189
64,90
65,100
66,134
67,32
68,81
69,119
70,118
71,37
72,119
73,27
74,51
75,78
76,187
77,86
78,95
79,8
80,56
81,29
82,156
83,162
84,186
85,127
86,126
87,111
88,144
89,59
90,7
91,140
92,32
93,75
94,40
95,0
96,109
97,92
98,165
99,175
