,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.798,0.656,0.029,0.011,0.109,0.032,0.021,0.087,0.004,0.0,0.006,0.043,0.058,0.002,0.235,0.002,0.141,0.0,0.132
1,0.798,1.0,0.533,0.027,0.033,0.192,0.069,0.013,0.174,0.008,0.036,0.123,0.062,0.018,0.032,0.081,0.052,0.144,0.007,0.016
2,0.656,0.533,1.0,0.002,0.019,0.104,0.065,0.258,0.02,0.036,0.01,0.077,0.272,0.018,0.007,0.193,0.025,0.11,0.027,0.016
3,0.029,0.027,0.002,1.0,0.168,0.193,0.149,0.06,0.115,0.036,0.055,0.116,0.177,0.295,0.062,0.573,0.625,0.511,0.033,0.125
4,0.011,0.033,0.019,0.168,1.0,0.246,0.174,0.082,0.031,0.003,0.052,0.01,0.36,0.221,0.048,0.067,0.07,0.107,0.032,0.046
5,0.109,0.192,0.104,0.193,0.246,1.0,0.161,0.061,0.526,0.003,0.088,0.077,0.095,0.074,0.094,0.202,0.26,0.225,0.121,0.005
6,0.032,0.069,0.065,0.149,0.174,0.161,1.0,0.177,0.546,0.154,0.027,0.014,0.079,0.018,0.027,0.06,0.085,0.008,0.106,0.002
7,0.021,0.013,0.258,0.06,0.082,0.061,0.177,1.0,0.098,0.003,0.096,0.016,0.15,0.028,0.092,0.152,0.137,0.104,0.017,0.017
8,0.087,0.174,0.02,0.115,0.031,0.526,0.546,0.098,1.0,0.068,0.127,0.101,0.0,0.007,0.151,0.138,0.226,0.189,0.231,0.069
9,0.004,0.008,0.036,0.036,0.003,0.003,0.154,0.003,0.068,1.0,0.051,0.194,0.199,0.071,0.053,0.013,0.005,0.026,0.008,0.106
10,0.0,0.036,0.01,0.055,0.052,0.088,0.027,0.096,0.127,0.051,1.0,0.499,0.149,0.242,1.0,0.315,0.314,0.319,0.068,0.014
11,0.006,0.123,0.077,0.116,0.01,0.077,0.014,0.016,0.101,0.194,0.499,1.0,0.282,0.144,0.487,0.021,0.043,0.067,0.084,0.002
12,0.043,0.062,0.272,0.177,0.36,0.095,0.079,0.15,0.0,0.199,0.149,0.282,1.0,0.151,0.136,0.165,0.088,0.026,0.072,0.003
13,0.058,0.018,0.018,0.295,0.221,0.074,0.018,0.028,0.007,0.071,0.242,0.144,0.151,1.0,0.254,0.165,0.133,0.038,0.018,0.167
14,0.002,0.032,0.007,0.062,0.048,0.094,0.027,0.092,0.151,0.053,1.0,0.487,0.136,0.254,1.0,0.304,0.358,0.294,0.08,0.004
15,0.235,0.081,0.193,0.573,0.067,0.202,0.06,0.152,0.138,0.013,0.315,0.021,0.165,0.165,0.304,1.0,0.592,0.64,0.042,0.126
16,0.002,0.052,0.025,0.625,0.07,0.26,0.085,0.137,0.226,0.005,0.314,0.043,0.088,0.133,0.358,0.592,1.0,0.687,0.018,0.014
17,0.141,0.144,0.11,0.511,0.107,0.225,0.008,0.104,0.189,0.026,0.319,0.067,0.026,0.038,0.294,0.64,0.687,1.0,0.032,0.011
18,0.0,0.007,0.027,0.033,0.032,0.121,0.106,0.017,0.231,0.008,0.068,0.084,0.072,0.018,0.08,0.042,0.018,0.032,1.0,0.311
19,0.132,0.016,0.016,0.125,0.046,0.005,0.002,0.017,0.069,0.106,0.014,0.002,0.003,0.167,0.004,0.126,0.014,0.011,0.311,1.0
